CUSTOMER_ID,GENDER,AGE,HOUSEHOLD_INCOME,YEARS_AS_CUSTOMER,CUSTOMER_SUBSCRIPTION_COUNT,CUSTOMER_REVENUE,CUSTOMER_HASHCODE
111873,M,19,$0 ,0,1,$25 ,0
111989,M,19,"$48,000 ",0,4,$100 ,0
117363,M,19,"$36,000 ",0,3,$75 ,0
119360,F,19,"$11,000 ",0,5,$125 ,0
120722,F,19,"$55,000 ",0,13,$195 ,0
121010,F,19,"$22,000 ",0,5,$125 ,0
121350,F,19,"$11,000 ",0,8,$120 ,0
122405,F,19,$0 ,0,4,$100 ,0
124123,F,19,"$11,000 ",0,6,$150 ,0
124746,M,19,"$24,000 ",0,7,$175 ,0
124750,F,19,"$22,000 ",0,2,$120 ,0
128929,M,19,"$132,000 ",0,13,$260 ,0
129564,M,19,"$12,000 ",0,2,$120 ,0
137198,F,19,"$55,000 ",0,7,$175 ,0
137522,F,18,"$22,000 ",0,7,$105 ,0
147701,F,18,"$22,000 ",0,2,$120 ,0
148858,F,19,"$44,000 ",0,9,$135 ,0
149936,M,19,"$12,000 ",0,1,$60 ,0
150664,M,19,"$12,000 ",0,2,$120 ,0
150865,M,19,"$48,000 ",0,4,$100 ,0
152877,M,18,"$36,000 ",0,5,$125 ,0
154544,M,19,"$60,000 ",0,6,$150 ,0
155977,F,19,"$44,000 ",0,4,$100 ,0
156940,M,19,"$24,000 ",0,2,$120 ,0
193817,F,18,"$22,000 ",0,6,$150 ,0
199461,M,19,"$12,000 ",0,7,$175 ,0
201549,F,19,"$44,000 ",0,8,$120 ,0
201557,F,19,"$11,000 ",0,7,$175 ,0
203412,M,19,"$12,000 ",0,4,$100 ,0
224056,U,19,"$44,000 ",0,11,$165 ,0
231513,M,19,"$36,000 ",0,3,$75 ,0
270179,F,19,"$33,000 ",0,4,$100 ,0
282476,F,19,"$44,000 ",0,5,$125 ,0
286358,M,19,"$60,000 ",0,6,$150 ,0
286446,M,19,"$60,000 ",0,7,$105 ,0
288739,F,18,"$11,000 ",0,1,$60 ,0
293306,F,19,"$11,000 ",0,1,$60 ,0
293753,F,18,"$11,000 ",0,1,$60 ,0
303705,M,19,"$24,000 ",0,2,$120 ,0
304410,M,19,"$12,000 ",0,3,$75 ,0
304511,U,19,"$11,000 ",0,2,$50 ,0
307190,F,19,"$22,000 ",0,5,$125 ,0
307833,M,19,"$84,000 ",0,9,$135 ,0
308498,F,19,"$44,000 ",0,6,$150 ,0
309094,M,19,"$24,000 ",0,2,$120 ,0
313431,M,19,"$36,000 ",0,4,$100 ,0
318752,F,19,"$11,000 ",0,3,$75 ,0
319021,F,19,"$22,000 ",0,5,$125 ,0
319539,F,19,"$11,000 ",0,6,$150 ,0
319752,M,19,"$24,000 ",0,10,$150 ,0
319763,F,19,"$33,000 ",0,3,$75 ,0
321068,U,19,"$11,000 ",0,3,$75 ,0
323123,F,18,"$11,000 ",0,1,$60 ,0
323589,M,19,"$24,000 ",0,1,$25 ,0
325657,F,19,"$33,000 ",0,4,$100 ,0
326188,M,18,"$24,000 ",0,3,$75 ,0
330585,M,19,"$24,000 ",0,2,$120 ,0
330655,F,19,"$22,000 ",0,7,$105 ,0
331766,M,19,$0 ,0,5,$125 ,0
331942,M,19,"$24,000 ",0,6,$150 ,0
332688,M,19,"$12,000 ",0,7,$175 ,0
332727,F,19,"$11,000 ",0,7,$105 ,0
333241,F,19,"$77,000 ",0,13,$195 ,0
333815,F,19,"$88,000 ",0,13,$195 ,0
333870,M,19,$0 ,0,4,$100 ,0
334404,F,19,"$11,000 ",0,6,$90 ,0
334571,F,19,"$55,000 ",0,8,$120 ,0
334815,M,19,"$60,000 ",0,7,$175 ,0
335333,M,19,$0 ,0,4,$100 ,0
342879,F,19,"$44,000 ",0,6,$150 ,0
344164,F,19,"$22,000 ",0,4,$100 ,0
344539,M,19,"$24,000 ",0,4,$100 ,0
344618,F,19,"$22,000 ",0,5,$125 ,0
344633,F,19,"$33,000 ",0,8,$120 ,0
344657,F,19,"$11,000 ",0,4,$100 ,0
344988,M,19,"$48,000 ",0,5,$125 ,0
345011,F,,"$11,000 ",0,2,$120 ,0
348750,M,,"$12,000 ",0,4,$100 ,0
349062,M,,"$84,000 ",0,7,$105 ,0
349332,F,,"$22,000 ",0,8,$120 ,0
350113,U,,"$99,000 ",0,13,$195 ,0
350153,M,,"$48,000 ",0,7,$175 ,0
356627,F,,"$33,000 ",0,8,$120 ,0
356633,F,,"$22,000 ",0,4,$100 ,0
372549,F,,"$22,000 ",0,2,$120 ,0
375538,U,19,"$44,000 ",0,5,$125 ,0
382434,M,19,"$12,000 ",0,5,$125 ,0
396494,F,19,$0 ,0,4,$100 ,0
411907,F,19,"$22,000 ",0,2,$120 ,0
425057,M,19,"$36,000 ",0,7,$105 ,0
458191,F,19,"$11,000 ",0,3,$75 ,0
458569,M,18,"$60,000 ",0,5,$125 ,0
482031,M,19,"$60,000 ",0,8,$120 ,0
331793,F,21,"$44,000 ",1,7,$175 ,0.1
335101,M,20,"$48,000 ",1,5,$75 ,0.2
118293,M,42,"$24,000 ",12,1,$15 ,0.2
248377,M,23,"$60,000 ",2,4,$60 ,0.2
456893,M,35,"$96,000 ",8,7,$140 ,0.4
306570,M,35,"$60,000 ",8,5,$100 ,0.4
269250,M,42,"$72,000 ",12,7,$105 ,0.7
382975,M,32,"$60,000 ",7,2,$30 ,1.0
299897,F,22,"$77,000 ",2,5,$75 ,1.1
114445,F,23,"$77,000 ",2,13,$195 ,1.3
449251,M,39,"$48,000 ",10,6,$120 ,1.7
473896,M,39,"$108,000 ",10,9,$180 ,2.0
464926,M,64,"$48,000 ",23,3,$45 ,2.2
33262,F,22,"$22,000 ",2,3,$45 ,2.6
28622,M,24,"$48,000 ",3,4,$60 ,2.8
423229,M,33,"$12,000 ",7,1,$15 ,2.9
382049,F,23,"$55,000 ",2,4,$60 ,2.9
78588,F,22,"$44,000 ",2,1,$25 ,3.3
121937,M,20,"$24,000 ",1,4,$100 ,3.5
91363,F,30,"$88,000 ",6,9,$180 ,3.7
91561,F,30,"$11,000 ",6,1,$25 ,3.8
157836,F,22,"$44,000 ",2,3,$45 ,4.0
112068,F,22,"$88,000 ",2,13,$195 ,4.0
364439,M,27,"$36,000 ",4,1,$25 ,4.4
203444,M,20,"$36,000 ",1,6,$150 ,4.4
92298,F,33,"$11,000 ",7,2,$30 ,4.9
313447,M,25,"$48,000 ",3,3,$45 ,5.1
112421,F,21,"$33,000 ",1,4,$60 ,6.7
384714,F,35,"$66,000 ",8,2,$40 ,6.8
460412,M,26,"$60,000 ",4,3,$45 ,7.1
82883,M,20,"$36,000 ",1,2,$50 ,7.6
334343,M,21,"$48,000 ",1,4,$100 ,8.3
453987,M,42,"$72,000 ",12,4,$60 ,8.4
459888,F,28,"$22,000 ",5,6,$120 ,9.3
397152,M,27,"$12,000 ",4,1,$25 ,10.1
84540,F,23,"$99,000 ",2,6,$90 ,10.1
481409,M,28,"$48,000 ",5,3,$45 ,10.4
1119,F,37,"$44,000 ",9,1,$15 ,10.9
137916,U,23,"$55,000 ",2,3,$60 ,11.7
49134,F,21,"$22,000 ",1,5,$125 ,12.5
60024,F,20,"$88,000 ",1,8,$120 ,12.6
98996,F,24,"$22,000 ",3,2,$50 ,13.4
347079,U,21,"$33,000 ",1,13,$195 ,14.9
449171,M,28,"$120,000 ",5,7,$140 ,15.0
344176,F,21,"$11,000 ",1,4,$60 ,15.3
228594,M,31,"$60,000 ",6,2,$30 ,15.4
286142,M,45,"$108,000 ",13,10,$200 ,15.8
169794,M,27,"$24,000 ",4,1,$15 ,16.0
332077,M,25,"$12,000 ",3,4,$60 ,16.1
176908,F,24,"$33,000 ",3,1,$25 ,16.2
119448,F,21,"$66,000 ",1,7,$105 ,16.3
89029,F,51,"$33,000 ",16,1,$15 ,16.6
441757,M,24,"$48,000 ",3,9,$135 ,16.9
351269,M,21,"$36,000 ",1,6,$90 ,17.4
31205,M,34,"$72,000 ",8,6,$120 ,17.6
82239,M,23,"$24,000 ",2,1,$15 ,17.7
300994,M,29,"$36,000 ",5,3,$75 ,17.9
291549,M,23,"$12,000 ",2,1,$60 ,18.0
61357,M,20,"$84,000 ",1,7,$105 ,18.3
86185,F,30,"$66,000 ",6,2,$40 ,18.8
78572,F,22,"$99,000 ",2,5,$75 ,18.8
460767,M,32,"$192,000 ",7,3,$60 ,19.1
460688,M,22,"$12,000 ",2,2,$50 ,19.3
315528,F,36,"$22,000 ",9,2,$50 ,20.3
302883,M,22,"$48,000 ",2,6,$90 ,20.4
302613,F,33,"$33,000 ",7,1,$15 ,20.6
90233,M,20,"$48,000 ",1,5,$125 ,21.6
421168,F,25,"$165,000 ",3,2,$40 ,21.9
109092,M,27,"$12,000 ",4,9,$180 ,22.1
317021,F,20,"$77,000 ",1,8,$120 ,22.4
372219,M,34,"$132,000 ",8,5,$100 ,22.4
377320,F,43,"$44,000 ",12,1,$20 ,22.5
349360,M,33,"$192,000 ",7,6,$120 ,23.0
203575,F,20,"$11,000 ",1,9,$135 ,23.1
433574,F,31,"$22,000 ",6,4,$60 ,23.1
158273,M,25,"$12,000 ",3,2,$50 ,23.5
36495,M,23,"$72,000 ",2,4,$100 ,23.9
431317,M,23,"$24,000 ",2,3,$45 ,24.1
303515,M,28,"$24,000 ",5,1,$15 ,24.2
411575,M,23,"$96,000 ",2,9,$180 ,24.3
159072,M,23,"$36,000 ",2,3,$75 ,24.3
301331,M,22,"$12,000 ",2,1,$60 ,25.3
2793,F,22,"$33,000 ",2,2,$50 ,25.7
145745,M,22,"$12,000 ",2,3,$75 ,26.1
366790,M,25,"$96,000 ",3,3,$60 ,26.7
142350,U,21,"$66,000 ",1,8,$120 ,26.7
130218,F,21,"$55,000 ",1,3,$75 ,27.1
311607,F,28,"$132,000 ",5,1,$20 ,27.7
348876,M,31,"$36,000 ",6,1,$20 ,28.2
98818,M,27,"$48,000 ",4,3,$45 ,28.3
85626,F,27,"$66,000 ",4,8,$120 ,28.5
279289,M,27,"$144,000 ",4,9,$180 ,28.5
70917,M,24,"$84,000 ",3,6,$90 ,28.7
393327,M,47,"$60,000 ",14,5,$75 ,28.7
387114,M,55,"$156,000 ",18,2,$40 ,29.2
95127,M,34,"$24,000 ",8,1,$25 ,29.3
321161,M,24,"$96,000 ",3,1,$15 ,29.5
444754,M,29,"$24,000 ",5,1,$25 ,29.5
469218,M,32,"$96,000 ",7,5,$100 ,30.6
119857,F,21,"$22,000 ",1,9,$135 ,30.6
40199,M,30,"$72,000 ",6,6,$120 ,30.6
28354,F,21,"$22,000 ",1,5,$75 ,30.8
208179,M,20,"$120,000 ",1,12,$180 ,31.0
131369,F,30,"$33,000 ",6,1,$20 ,31.1
61367,M,37,"$48,000 ",9,1,$25 ,31.1
381827,M,33,"$36,000 ",7,2,$30 ,31.7
143113,M,28,"$36,000 ",5,3,$75 ,32.1
110659,F,54,"$132,000 ",18,10,$150 ,32.1
336247,F,24,"$55,000 ",3,4,$60 ,32.1
315100,M,22,"$48,000 ",2,5,$125 ,32.7
59354,M,33,"$48,000 ",7,1,$20 ,32.7
476441,M,26,"$72,000 ",4,6,$90 ,33.3
50537,M,29,"$72,000 ",5,6,$120 ,33.5
140780,M,50,"$180,000 ",16,1,$20 ,34.0
203652,M,21,"$12,000 ",1,2,$50 ,34.0
212003,F,20,"$11,000 ",1,5,$125 ,34.3
421634,M,22,"$60,000 ",2,5,$125 ,34.4
108382,U,21,"$99,000 ",1,12,$180 ,34.8
480378,M,23,"$24,000 ",2,4,$60 ,35.5
199466,F,21,"$77,000 ",1,4,$60 ,35.5
238139,M,21,"$36,000 ",1,2,$50 ,35.6
464375,M,33,"$12,000 ",7,2,$30 ,36.0
297009,F,22,"$22,000 ",2,5,$75 ,36.2
157757,M,37,"$60,000 ",9,2,$40 ,36.3
307022,F,24,"$66,000 ",3,4,$60 ,36.3
54028,M,24,"$72,000 ",3,1,$20 ,36.4
466120,M,51,"$72,000 ",16,4,$80 ,36.5
115236,F,23,"$33,000 ",2,2,$50 ,36.6
103361,F,40,"$99,000 ",11,1,$20 ,36.9
56298,M,40,"$48,000 ",11,2,$30 ,37.0
454576,F,22,"$22,000 ",2,4,$100 ,37.0
293156,F,29,"$22,000 ",5,1,$15 ,37.1
64367,U,24,"$77,000 ",3,5,$100 ,37.8
64872,F,35,"$66,000 ",8,5,$75 ,38.4
95933,F,21,"$22,000 ",1,4,$100 ,39.3
187147,F,21,"$11,000 ",1,4,$60 ,40.3
428600,M,30,"$36,000 ",6,3,$45 ,40.6
415866,F,53,"$132,000 ",17,11,$220 ,40.8
154020,M,34,"$36,000 ",8,2,$30 ,40.9
44169,F,21,"$22,000 ",1,8,$120 ,41.0
69905,M,26,"$36,000 ",4,1,$25 ,41.2
284753,M,24,"$96,000 ",3,7,$105 ,41.3
300259,M,36,"$60,000 ",9,2,$40 ,41.6
29993,F,20,"$22,000 ",1,6,$90 ,41.7
355800,U,25,"$55,000 ",3,1,$15 ,41.8
88528,F,25,"$22,000 ",3,4,$100 ,42.6
463116,F,21,$0 ,1,3,$75 ,43.0
330208,F,21,"$44,000 ",1,7,$105 ,43.2
78084,F,23,"$77,000 ",2,3,$45 ,43.7
32837,M,21,"$12,000 ",1,2,$120 ,43.7
461928,M,33,"$84,000 ",7,3,$45 ,43.9
111658,F,23,"$44,000 ",2,6,$150 ,44.1
25965,F,22,"$99,000 ",2,3,$45 ,44.4
338574,F,23,"$55,000 ",2,6,$150 ,44.9
85113,F,44,"$33,000 ",13,6,$90 ,46.6
286861,F,21,"$66,000 ",1,7,$105 ,47.1
340950,M,23,"$48,000 ",2,4,$60 ,47.3
404850,M,45,"$24,000 ",13,3,$75 ,47.4
151587,M,24,"$12,000 ",3,1,$25 ,47.6
298367,F,41,"$88,000 ",11,3,$60 ,47.7
30532,F,28,"$11,000 ",5,2,$30 ,48.2
344324,M,23,"$84,000 ",2,6,$90 ,48.4
301320,M,61,"$12,000 ",21,1,$25 ,48.6
137193,F,22,"$11,000 ",2,1,$60 ,49.2
65933,M,22,$0 ,2,1,$25 ,49.5
92909,F,34,"$33,000 ",8,1,$15 ,49.6
297042,F,31,"$121,000 ",6,3,$60 ,49.7
409238,M,41,"$36,000 ",11,2,$50 ,50.1
144688,F,25,"$77,000 ",3,5,$100 ,50.5
45205,M,20,"$36,000 ",1,4,$100 ,50.7
53756,M,20,"$12,000 ",1,10,$150 ,52.4
353551,M,25,"$36,000 ",3,2,$30 ,52.8
139818,M,26,"$84,000 ",4,2,$30 ,53.0
452067,M,34,"$24,000 ",8,2,$30 ,54.1
101157,F,20,"$11,000 ",1,1,$60 ,54.2
313566,M,21,"$24,000 ",1,2,$120 ,54.9
138214,F,21,"$77,000 ",1,8,$120 ,54.9
385362,M,22,"$12,000 ",2,5,$125 ,55.9
78574,M,33,"$84,000 ",7,1,$20 ,56.1
449594,M,23,"$24,000 ",2,4,$100 ,56.7
403225,F,27,"$33,000 ",4,2,$50 ,56.7
135231,F,58,"$44,000 ",20,2,$30 ,56.7
418852,F,29,"$198,000 ",5,1,$20 ,56.8
137432,M,28,"$156,000 ",5,1,$20 ,57.0
312681,M,26,"$60,000 ",4,3,$45 ,57.3
229924,M,21,"$24,000 ",1,2,$30 ,57.7
387943,M,32,"$12,000 ",7,1,$25 ,57.9
288228,F,33,"$44,000 ",7,3,$75 ,58.3
295728,F,30,"$132,000 ",6,9,$180 ,58.4
352133,M,28,"$36,000 ",5,3,$75 ,58.6
31438,M,42,"$144,000 ",12,13,$260 ,58.8
107378,M,27,"$24,000 ",4,5,$75 ,58.9
85999,U,41,"$77,000 ",11,11,$165 ,59.8
331152,M,22,"$84,000 ",2,5,$75 ,60.0
220987,F,20,"$22,000 ",1,7,$105 ,60.4
265111,F,20,"$44,000 ",1,8,$120 ,60.8
99243,F,22,"$11,000 ",2,1,$60 ,60.8
149531,U,21,"$22,000 ",1,2,$50 ,61.4
318832,M,34,"$48,000 ",8,3,$45 ,61.9
294443,M,31,"$12,000 ",6,1,$25 ,62.1
393148,M,35,"$12,000 ",8,1,$25 ,62.4
67576,M,23,"$24,000 ",2,1,$25 ,62.8
285931,F,21,"$22,000 ",1,4,$100 ,63.2
315075,M,27,"$48,000 ",4,1,$15 ,63.2
313663,M,21,"$12,000 ",1,3,$75 ,63.4
407654,F,31,"$33,000 ",6,1,$15 ,63.5
286439,F,23,"$44,000 ",2,1,$20 ,63.5
402258,F,27,"$44,000 ",4,4,$60 ,63.7
387557,M,28,"$60,000 ",5,6,$90 ,63.7
315836,M,22,"$12,000 ",2,1,$60 ,64.2
360080,M,36,"$36,000 ",9,1,$20 ,64.7
89184,M,20,"$12,000 ",1,3,$75 ,64.9
323166,M,40,"$72,000 ",11,9,$180 ,65.0
116182,F,33,"$143,000 ",7,7,$105 ,65.6
69637,F,21,"$66,000 ",1,8,$120 ,65.6
369512,M,33,"$24,000 ",7,4,$100 ,65.8
291815,M,38,"$36,000 ",10,3,$75 ,65.9
222226,F,20,"$77,000 ",1,12,$180 ,66.0
33091,M,24,"$24,000 ",3,1,$25 ,66.3
427969,F,27,"$66,000 ",4,4,$60 ,66.6
26160,M,21,"$24,000 ",1,2,$50 ,66.9
305444,M,28,"$48,000 ",5,2,$30 ,68.0
73179,F,21,"$44,000 ",1,4,$100 ,68.3
300323,M,20,"$12,000 ",1,1,$60 ,68.3
156904,F,29,"$11,000 ",5,1,$25 ,68.8
219604,M,22,"$60,000 ",2,3,$75 ,68.8
432483,M,54,"$84,000 ",18,5,$75 ,69.0
142699,U,23,"$66,000 ",2,9,$180 ,69.5
151136,M,23,"$72,000 ",2,4,$60 ,69.7
298898,M,23,"$12,000 ",2,3,$75 ,69.7
331418,F,20,"$44,000 ",1,6,$150 ,69.8
350587,F,20,"$11,000 ",1,6,$150 ,70.5
207915,F,26,"$66,000 ",4,3,$45 ,71.0
112085,F,20,"$77,000 ",1,9,$135 ,71.6
43515,M,21,"$60,000 ",1,6,$90 ,72.0
202739,M,21,"$36,000 ",1,2,$30 ,72.2
159233,F,21,"$66,000 ",1,8,$120 ,72.9
43974,F,22,"$33,000 ",2,9,$135 ,73.3
374372,F,24,"$55,000 ",3,4,$60 ,73.5
33098,F,22,"$22,000 ",2,3,$75 ,74.1
307287,M,21,"$12,000 ",1,1,$60 ,74.5
154846,F,21,"$66,000 ",1,6,$90 ,75.7
76206,F,22,"$22,000 ",2,2,$120 ,75.7
396438,F,22,"$66,000 ",2,6,$90 ,75.9
325990,F,31,"$22,000 ",6,4,$80 ,76.6
121446,F,20,"$44,000 ",1,7,$175 ,76.7
349248,F,21,"$22,000 ",1,3,$75 ,77.1
430463,F,23,"$33,000 ",2,7,$105 ,77.5
304288,M,20,"$36,000 ",1,11,$165 ,77.6
111288,M,27,"$24,000 ",4,5,$125 ,77.6
381897,M,46,"$72,000 ",14,2,$40 ,77.7
345119,M,21,"$72,000 ",1,7,$175 ,77.9
465303,F,20,"$44,000 ",1,11,$165 ,78.0
43389,F,20,"$22,000 ",1,5,$75 ,78.2
316176,F,26,"$22,000 ",4,1,$15 ,78.4
329410,F,40,"$22,000 ",11,6,$120 ,79.0
400976,M,27,"$168,000 ",4,13,$260 ,79.0
78107,M,25,"$36,000 ",3,7,$105 ,79.1
471529,M,27,"$24,000 ",4,2,$50 ,79.3
92025,F,23,"$55,000 ",2,2,$30 ,79.8
335119,F,20,"$99,000 ",1,13,$195 ,80.3
86575,F,21,"$22,000 ",1,2,$50 ,80.4
480251,U,22,"$33,000 ",2,4,$100 ,80.6
88454,F,26,"$143,000 ",4,6,$120 ,81.3
270099,M,21,"$60,000 ",1,5,$75 ,81.4
149926,M,29,"$36,000 ",5,1,$15 ,83.1
467121,M,38,"$24,000 ",10,1,$15 ,83.6
332616,F,20,"$33,000 ",1,13,$195 ,83.7
123872,F,28,"$55,000 ",5,5,$75 ,83.8
145527,M,24,"$36,000 ",3,3,$45 ,83.8
153207,M,33,"$96,000 ",7,7,$140 ,83.9
451620,U,23,"$88,000 ",2,10,$200 ,84.6
480862,F,21,"$44,000 ",1,11,$165 ,85.3
318661,F,30,"$11,000 ",6,1,$60 ,85.4
66972,M,22,"$36,000 ",2,7,$175 ,85.7
187106,F,23,"$11,000 ",2,1,$25 ,86.1
418071,M,31,"$120,000 ",6,5,$100 ,86.4
264028,F,23,"$11,000 ",2,2,$30 ,86.5
93730,F,21,"$55,000 ",1,8,$120 ,86.7
401921,F,27,"$55,000 ",4,7,$140 ,86.9
23762,M,25,"$60,000 ",3,3,$75 ,87.5
156539,M,51,"$120,000 ",16,7,$140 ,87.6
435652,M,28,"$96,000 ",5,4,$60 ,87.7
355185,F,48,"$33,000 ",15,3,$45 ,87.8
301910,M,30,"$12,000 ",6,1,$25 ,89.2
340825,F,22,"$44,000 ",2,7,$105 ,89.3
292140,M,28,"$84,000 ",5,4,$60 ,89.5
87688,F,24,"$33,000 ",3,3,$75 ,90.5
316619,F,57,"$22,000 ",19,1,$25 ,90.7
142541,M,46,"$12,000 ",14,1,$25 ,91.1
413339,M,51,"$180,000 ",16,5,$100 ,91.3
84064,F,21,"$33,000 ",1,10,$150 ,91.6
138328,M,24,"$48,000 ",3,5,$75 ,91.6
88656,M,23,"$48,000 ",2,2,$50 ,92.0
363548,M,24,"$24,000 ",3,1,$15 ,92.4
339086,M,29,"$48,000 ",5,2,$30 ,92.6
315017,M,23,"$36,000 ",2,3,$75 ,92.8
477685,M,31,"$36,000 ",6,1,$15 ,94.2
464694,F,58,"$88,000 ",20,8,$160 ,94.3
108744,M,29,"$84,000 ",5,1,$20 ,94.6
93492,F,27,"$33,000 ",4,4,$60 ,95.3
468347,F,23,"$22,000 ",2,6,$150 ,95.8
351251,F,24,"$22,000 ",3,2,$50 ,96.5
349648,F,21,"$22,000 ",1,6,$90 ,97.5
100364,U,22,"$22,000 ",2,10,$150 ,97.6
97399,M,22,"$36,000 ",2,3,$75 ,98.0
148266,F,21,"$22,000 ",1,6,$150 ,98.6
101754,M,40,"$60,000 ",11,1,$15 ,98.7
397046,M,25,"$144,000 ",3,12,$240 ,98.9
327906,M,38,"$60,000 ",10,5,$75 ,99.0
301274,F,21,"$55,000 ",1,6,$150 ,99.1
157512,F,27,"$110,000 ",4,8,$160 ,99.2
387976,M,44,"$84,000 ",13,6,$120 ,99.3
73413,M,30,"$36,000 ",6,1,$25 ,99.6
100915,M,21,"$36,000 ",1,3,$75 ,99.6
150023,F,25,"$22,000 ",3,1,$15 ,99.7
84947,F,22,"$110,000 ",2,12,$180 ,99.8
444940,F,49,"$33,000 ",15,1,$15 ,99.8
298475,M,28,"$48,000 ",5,6,$120 ,100.0
91280,M,37,"$96,000 ",9,9,$135 ,100.0
397994,M,27,"$48,000 ",4,3,$60 ,100.2
357485,M,22,"$36,000 ",2,6,$90 ,100.4
117186,M,20,"$24,000 ",1,6,$150 ,100.5
124252,F,22,"$99,000 ",2,13,$195 ,100.7
293487,M,20,"$60,000 ",1,5,$125 ,100.8
120367,M,21,"$48,000 ",1,7,$105 ,100.9
405923,M,23,"$24,000 ",2,1,$25 ,101.1
87370,F,34,"$66,000 ",8,6,$90 ,101.1
294039,U,21,"$55,000 ",1,5,$125 ,101.6
138019,F,46,"$44,000 ",14,9,$180 ,102.5
358475,M,37,"$60,000 ",9,10,$200 ,102.6
32510,F,21,"$22,000 ",1,3,$75 ,103.0
333403,M,21,"$12,000 ",1,9,$135 ,103.0
77838,M,22,"$168,000 ",2,7,$105 ,103.1
130181,M,28,"$60,000 ",5,5,$75 ,103.2
85806,M,21,"$96,000 ",1,8,$120 ,103.5
203619,F,20,"$55,000 ",1,6,$90 ,103.6
326080,F,26,"$44,000 ",4,1,$15 ,104.0
65355,M,21,"$60,000 ",1,2,$50 ,104.6
329478,F,39,"$33,000 ",10,1,$15 ,104.8
91065,F,27,"$33,000 ",4,2,$50 ,105.1
158878,F,24,"$22,000 ",3,2,$30 ,105.1
30526,F,20,"$22,000 ",1,5,$125 ,105.1
78290,M,27,"$60,000 ",4,8,$160 ,105.4
313727,M,36,"$84,000 ",9,8,$160 ,105.4
201509,F,20,"$33,000 ",1,4,$100 ,105.9
226420,M,24,"$36,000 ",3,1,$25 ,106.7
345663,F,21,"$22,000 ",1,4,$100 ,106.8
223749,F,21,"$44,000 ",1,5,$75 ,106.9
309328,M,25,"$48,000 ",3,2,$30 ,107.6
250859,F,23,"$44,000 ",2,5,$75 ,108.0
91586,M,33,"$48,000 ",7,3,$45 ,108.2
463531,F,29,"$44,000 ",5,3,$60 ,108.4
319124,F,20,"$33,000 ",1,11,$165 ,108.4
426204,M,35,"$72,000 ",8,2,$40 ,108.5
168384,F,26,"$88,000 ",4,4,$60 ,108.6
317291,F,35,"$44,000 ",8,3,$45 ,108.6
78154,M,24,"$24,000 ",3,1,$25 ,108.7
155491,F,21,"$88,000 ",1,5,$100 ,108.8
319662,M,21,"$12,000 ",1,1,$15 ,109.2
222739,M,20,"$60,000 ",1,9,$135 ,109.2
352202,M,20,"$48,000 ",1,11,$165 ,109.6
